id,Hours,Day,Pride,Love,Hope,Gratitude,Joy,Satisfaction,Awe,Amusement,Alertness,Anxiety,Disdain,Ofense,Guilt,Disgust,Fear,Embarassment,Sadness,Anger
119,15,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,18,6,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
119,20,4,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
119,21,6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
125,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,12,5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1
127,10,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,21,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
129,11,7,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
129,16,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
131,10,1,0,0,0,0,0,0,0,1,1, , , , , , , , , 
131,12,3,0,0,0,0,0,0,0,0,0, , , , , , , , , 
131,20,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,22,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,10,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
135,10,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
135,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,11,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,14,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,14,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,15,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,17,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,17,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
135,18,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
135,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,18,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
135,18,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,19,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
135,22,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
135,23,5,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
135,23,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
154,15,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
154,17,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,8,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
156,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,9,7,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
156,10,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
156,10,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
156,11,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1
156,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
156,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
156,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
156,14,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
156,15,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
156,16,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
156,16,7,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0
156,17,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
156,17,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
156,18,4,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
156,19,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
156,19,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
156,19,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1
156,20,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
156,20,7,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
156,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,21,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
156,21,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
181,15,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
181,21,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
183,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,14,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
185,20,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187,16,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
187,18,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
189,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,9,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,12,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
191,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,15,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
191,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,19,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
191,19,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
