"id","gender","age","attnpassed","state1","state2","response"
1,1,20,0,"Fear","Awe",36
1,1,20,0,"Disgust","Awe",87
1,1,20,0,"Guilt","Awe",50
1,1,20,0,"Offense","Awe",66
1,1,20,0,"Contempt","Awe",69
1,1,20,0,"Anxiety","Awe",98
1,1,20,0,"Alertness","Awe",65
1,1,20,0,"Amusement","Awe",72
1,1,20,0,"Awe","Awe",55
1,1,20,0,"Satisfaction","Awe",66
1,1,20,0,"Joy","Awe",58
1,1,20,0,"Gratitude","Awe",47
1,1,20,0,"Hope","Awe",29
1,1,20,0,"Love","Awe",67
1,1,20,0,"Pride","Awe",74
1,1,20,0,"Anger","Satisfaction",64
1,1,20,0,"Sadness","Satisfaction",66
1,1,20,0,"Embarrassment","Satisfaction",34
1,1,20,0,"Fear","Satisfaction",24
1,1,20,0,"Disgust","Satisfaction",66
1,1,20,0,"Guilt","Satisfaction",75
1,1,20,0,"Offense","Satisfaction",10
1,1,20,0,"Contempt","Satisfaction",95
1,1,20,0,"Anxiety","Satisfaction",78
1,1,20,0,"Alertness","Satisfaction",61
1,1,20,0,"Amusement","Satisfaction",26
1,1,20,0,"Awe","Satisfaction",34
1,1,20,0,"Satisfaction","Satisfaction",42
1,1,20,0,"Joy","Satisfaction",97
1,1,20,0,"Gratitude","Satisfaction",95
1,1,20,0,"Hope","Satisfaction",18
1,1,20,0,"Love","Satisfaction",94
1,1,20,0,"Pride","Satisfaction",67
1,1,20,0,"Anger","Joy",34
1,1,20,0,"Sadness","Joy",11
1,1,20,0,"Embarrassment","Joy",28
1,1,20,0,"Fear","Joy",98
1,1,20,0,"Disgust","Joy",71
1,1,20,0,"Guilt","Joy",17
1,1,20,0,"Offense","Joy",77
1,1,20,0,"Contempt","Joy",17
1,1,20,0,"Anxiety","Joy",92
1,1,20,0,"Alertness","Joy",39
1,1,20,0,"Amusement","Joy",20
1,1,20,0,"Awe","Joy",71
1,1,20,0,"Satisfaction","Joy",95
1,1,20,0,"Joy","Joy",90
1,1,20,0,"Gratitude","Joy",91
1,1,20,0,"Hope","Joy",62
1,1,20,0,"Love","Joy",66
1,1,20,0,"Pride","Joy",12
1,1,20,0,"Anger","Gratitude",88
1,1,20,0,"Sadness","Gratitude",89
1,1,20,0,"Embarrassment","Gratitude",83
1,1,20,0,"Fear","Gratitude",26
1,1,20,0,"Disgust","Gratitude",74
1,1,20,0,"Guilt","Gratitude",21
1,1,20,0,"Offense","Gratitude",43
1,1,20,0,"Contempt","Gratitude",92
1,1,20,0,"Anxiety","Gratitude",37
1,1,20,0,"Alertness","Gratitude",76
1,1,20,0,"Amusement","Gratitude",30
1,1,20,0,"Awe","Gratitude",89
1,1,20,0,"Satisfaction","Gratitude",96
1,1,20,0,"Joy","Gratitude",31
1,1,20,0,"Gratitude","Gratitude",67
1,1,20,0,"Hope","Gratitude",36
1,1,20,0,"Love","Gratitude",82
1,1,20,0,"Pride","Gratitude",79
1,1,20,0,"Anger","Hope",31
1,1,20,0,"Sadness","Hope",95
1,1,20,0,"Embarrassment","Hope",70
1,1,20,0,"Fear","Hope",74
1,1,20,0,"Disgust","Hope",86
1,1,20,0,"Guilt","Hope",71
1,1,20,0,"Offense","Hope",58
1,1,20,0,"Contempt","Hope",53
1,1,20,0,"Anxiety","Hope",72
1,1,20,0,"Alertness","Hope",37
1,1,20,0,"Amusement","Hope",79
1,1,20,0,"Awe","Hope",40
1,1,20,0,"Satisfaction","Hope",39
1,1,20,0,"Joy","Hope",41
1,1,20,0,"Gratitude","Hope",37
1,1,20,0,"Hope","Hope",71
1,1,20,0,"Love","Hope",87
1,1,20,0,"Pride","Hope",65
1,1,20,0,"Anger","Love",34
1,1,20,0,"Sadness","Love",34
1,1,20,0,"Embarrassment","Love",78
1,1,20,0,"Fear","Love",82
1,1,20,0,"Disgust","Love",57
1,1,20,0,"Guilt","Love",93
1,1,20,0,"Offense","Love",78
1,1,20,0,"Contempt","Love",84
1,1,20,0,"Anxiety","Love",72
1,1,20,0,"Alertness","Love",84
1,1,20,0,"Amusement","Love",37
1,1,20,0,"Awe","Love",53
1,1,20,0,"Satisfaction","Love",64
1,1,20,0,"Joy","Love",77
1,1,20,0,"Gratitude","Love",73
1,1,20,0,"Hope","Love",25
1,1,20,0,"Love","Love",38
1,1,20,0,"Pride","Love",74
1,1,20,0,"Anger","Pride",40
1,1,20,0,"Sadness","Pride",64
1,1,20,0,"Embarrassment","Pride",85
1,1,20,0,"Fear","Pride",72
1,1,20,0,"Disgust","Pride",76
1,1,20,0,"Guilt","Pride",38
1,1,20,0,"Offense","Pride",65
1,1,20,0,"Contempt","Pride",33
1,1,20,0,"Anxiety","Pride",69
1,1,20,0,"Alertness","Pride",16
1,1,20,0,"Amusement","Pride",90
1,1,20,0,"Awe","Pride",90
1,1,20,0,"Satisfaction","Pride",76
1,1,20,0,"Joy","Pride",94
1,1,20,0,"Gratitude","Pride",73
1,1,20,0,"Hope","Pride",97
1,1,20,0,"Love","Pride",65
1,1,20,0,"Pride","Pride",36
2,2,32,0,"Anger","Anger",75
2,2,32,0,"Sadness","Anger",60
2,2,32,0,"Embarrassment","Anger",35
2,2,32,0,"Fear","Anger",92
2,2,32,0,"Disgust","Anger",28
2,2,32,0,"Guilt","Anger",80
2,2,32,0,"Offense","Anger",32
2,2,32,0,"Contempt","Anger",70
2,2,32,0,"Anxiety","Anger",75
2,2,32,0,"Alertness","Anger",41
2,2,32,0,"Amusement","Anger",61
2,2,32,0,"Awe","Anger",50
2,2,32,0,"Satisfaction","Anger",90
2,2,32,0,"Joy","Anger",59
2,2,32,0,"Gratitude","Anger",80
2,2,32,0,"Hope","Anger",27
2,2,32,0,"Love","Anger",63
2,2,32,0,"Pride","Anger",50
2,2,32,0,"Anger","Sadness",80
2,2,32,0,"Sadness","Sadness",88
2,2,32,0,"Embarrassment","Sadness",69
2,2,32,0,"Fear","Sadness",31
2,2,32,0,"Disgust","Sadness",21
2,2,32,0,"Guilt","Sadness",75
2,2,32,0,"Offense","Sadness",73
2,2,32,0,"Contempt","Sadness",74
2,2,32,0,"Anxiety","Sadness",39
2,2,32,0,"Alertness","Sadness",89
2,2,32,0,"Amusement","Sadness",62
2,2,32,0,"Awe","Sadness",91
2,2,32,0,"Satisfaction","Sadness",37
2,2,32,0,"Joy","Sadness",31
2,2,32,0,"Gratitude","Sadness",29
2,2,32,0,"Hope","Sadness",89
2,2,32,0,"Love","Sadness",63
2,2,32,0,"Pride","Sadness",68
2,2,32,0,"Anger","Embarrassment",65
2,2,32,0,"Sadness","Embarrassment",91
2,2,32,0,"Embarrassment","Embarrassment",100
2,2,32,0,"Fear","Embarrassment",32
2,2,32,0,"Disgust","Embarrassment",86
2,2,32,0,"Guilt","Embarrassment",25
2,2,32,0,"Offense","Embarrassment",25
2,2,32,0,"Contempt","Embarrassment",31
2,2,32,0,"Anxiety","Embarrassment",64
2,2,32,0,"Alertness","Embarrassment",94
2,2,32,0,"Amusement","Embarrassment",84
2,2,32,0,"Awe","Embarrassment",27
2,2,32,0,"Satisfaction","Embarrassment",13
2,2,32,0,"Joy","Embarrassment",67
2,2,32,0,"Gratitude","Embarrassment",27
2,2,32,0,"Hope","Embarrassment",76
2,2,32,0,"Love","Embarrassment",27
2,2,32,0,"Pride","Embarrassment",89
2,2,32,0,"Anger","Fear",74
2,2,32,0,"Sadness","Fear",71
2,2,32,0,"Embarrassment","Fear",76
2,2,32,0,"Fear","Fear",100
2,2,32,0,"Disgust","Fear",76
2,2,32,0,"Guilt","Fear",73
2,2,32,0,"Offense","Fear",76
2,2,32,0,"Contempt","Fear",74
2,2,32,0,"Anxiety","Fear",79
2,2,32,0,"Alertness","Fear",66
2,2,32,0,"Amusement","Fear",21
2,2,32,0,"Awe","Fear",28
2,2,32,0,"Satisfaction","Fear",91
2,2,32,0,"Joy","Fear",21
2,2,32,0,"Gratitude","Fear",40
2,2,32,0,"Hope","Fear",34
2,2,32,0,"Love","Fear",45
2,2,32,0,"Pride","Fear",66
2,2,32,0,"Anger","Disgust",76
2,2,32,0,"Sadness","Disgust",89
2,2,32,0,"Embarrassment","Disgust",36
2,2,32,0,"Fear","Disgust",14
2,2,32,0,"Disgust","Disgust",59
2,2,32,0,"Guilt","Disgust",69
2,2,32,0,"Offense","Disgust",90
2,2,32,0,"Contempt","Disgust",44
2,2,32,0,"Anxiety","Disgust",87
2,2,32,0,"Alertness","Disgust",45
