"id","gender","age","attnpassed","state","response"
20,2,28,1,"Guilt",16
20,2,28,1,"Offense",33
20,2,28,1,"Contempt",14
20,2,28,1,"Anxiety",50
20,2,28,1,"Alertness",83
20,2,28,1,"Amusement",85
20,2,28,1,"Awe",68
20,2,28,1,"Satisfaction",100
20,2,28,1,"Joy",99
20,2,28,1,"Gratitude",34
20,2,28,1,"Hope",66
20,2,28,1,"Love",99
20,2,28,1,"Pride",66
21,1,29,0,"Anger",50
21,1,29,0,"Sadness",9
21,1,29,0,"Embarrassment",27
21,1,29,0,"Fear",44
21,1,29,0,"Disgust",50
21,1,29,0,"Guilt",36
21,1,29,0,"Offense",30
21,1,29,0,"Contempt",26
21,1,29,0,"Anxiety",45
21,1,29,0,"Alertness",88
21,1,29,0,"Amusement",85
21,1,29,0,"Awe",69
21,1,29,0,"Satisfaction",72
21,1,29,0,"Joy",70
21,1,29,0,"Gratitude",84
21,1,29,0,"Hope",84
21,1,29,0,"Love",100
21,1,29,0,"Pride",82
22,1,29,0,"Anger",57
22,1,29,0,"Sadness",50
22,1,29,0,"Embarrassment",40
22,1,29,0,"Fear",55
22,1,29,0,"Disgust",50
22,1,29,0,"Guilt",32
22,1,29,0,"Offense",32
22,1,29,0,"Contempt",37
22,1,29,0,"Anxiety",81
22,1,29,0,"Alertness",84
22,1,29,0,"Amusement",54
22,1,29,0,"Awe",31
22,1,29,0,"Satisfaction",65
22,1,29,0,"Joy",68
22,1,29,0,"Gratitude",54
22,1,29,0,"Hope",57
22,1,29,0,"Love",95
22,1,29,0,"Pride",66
23,1,30,1,"Anger",29
23,1,30,1,"Sadness",30
23,1,30,1,"Embarrassment",20
23,1,30,1,"Fear",0
23,1,30,1,"Disgust",28
23,1,30,1,"Guilt",11
23,1,30,1,"Offense",24
23,1,30,1,"Contempt",14
23,1,30,1,"Anxiety",10
23,1,30,1,"Alertness",88
23,1,30,1,"Amusement",83
23,1,30,1,"Awe",53
23,1,30,1,"Satisfaction",77
23,1,30,1,"Joy",84
23,1,30,1,"Gratitude",85
23,1,30,1,"Hope",100
23,1,30,1,"Love",84
23,1,30,1,"Pride",49
24,1,40,0,"Anger",50
24,1,40,0,"Sadness",27
24,1,40,0,"Embarrassment",23
24,1,40,0,"Fear",31
24,1,40,0,"Disgust",33
24,1,40,0,"Guilt",33
24,1,40,0,"Offense",32
24,1,40,0,"Contempt",33
24,1,40,0,"Anxiety",70
24,1,40,0,"Alertness",66
24,1,40,0,"Amusement",41
24,1,40,0,"Awe",51
24,1,40,0,"Satisfaction",68
24,1,40,0,"Joy",52
24,1,40,0,"Gratitude",47
24,1,40,0,"Hope",68
24,1,40,0,"Love",84
24,1,40,0,"Pride",35
25,1,25,0,"Anger",33
